ID,Database,Table,field_group,Field_Name,Data_Sample,Takin comment,Field_Set,Weight,Mapping Use,Relevant_Model,CRM Class,Primary_Field,Primary_Ontology_Long_Path,Primary_Expected_Value_Type (from Primary_Field),Primary_Expected_Collection_Model,Primary_Expected_Resource_Model,Set_Value_Primary_Field,Primary_Field_Type,Secondary_Field,Secondary_Ontology_Long_Path,Secondary_Expected_Value_Type,Secondary_Expected_Collection_Model,Secondary_Expected_Resource_Model,Set_Value_Secondary_Field,Secondary_Field_Type,Tertiary_Field,Tertiary_Ontology_Long_Path,Tertiary_Expected_Value_Type,Tertiary_Expected_Collection_Model,Set_Value_Tertiary_Field,Tertiary_Field_Type,Quaternary_Field,Quaternary_Ontology_Long_Path,Quaternary_Expected_Collection_Model,Quaternary_Expected_Resource_Model,Quaternary_Expected_Value_Type,Set_Value_Quaternary_Field,Quaternary_Field_Type
GLBMAP.149_alt_labels,3_Places,GLBMTAB.13_places_sample_locations,,alt_labels,Bla,,"LAF.6_name_content,LAF.5_name_type",1,Yes,GLBM.2_Place,E53 Place,SRDF.524_appellative_status_ascribed_appellation,->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->aaao:ZP6_ascribes_appellation->crm:E33_E41_Linguistic_Appellation[SRDF.524_1],Collection,SRDC.9_name,,,pass through,LAF.6_name_content,->crm:P1_is_identified_by->crm:E33_E41_Linguistic_Appellation[4_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content pass through,LAF.5_name_type,->crm:P1_is_identified_by->crm:E33_E41_Linguistic_Appellation[4_1]->crm:P2_has_type->crm:E55_Type[5_1],Concept,,https://vocab.getty.edu/aat/300264273,,,,,,,,
GLBMAP.150_amh_id,3_Places,GLBMTAB.13_places_sample_locations,,amh_id,amh_498p,,"LAF.10_identifier_content,LAF.9_identifier_type",2,Yes,GLBM.2_Place,E53 Place,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content pass through,LAF.9_identifier_type,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1],Concept,,,amd_id,additional,,,,,,,,,,,,,
GLBMAP.151_ccode_remarks,3_Places,GLBMTAB.13_places_sample_locations,coordinate,ccode_remarks,"The coordinates derived from GM 7:183 point to a location within Tamil Nadu, India, while the AMH entry for 'Alandale' locates this place in the VOC-gebied of Ceylon (present-day Sri Lanka).",,"SRDF.755_topographical_status_statement,LAF.15_statement_content",3,Yes,GLBM.2_Place,E53 Place,SRDF.755_topographical_status_statement,->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.755_1],Collection,SRDC.2_statement,,,pass through,LAF.15_statement_content,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content,,,,,,,,,,,,,
GLBMAP.152_coord_certainty,3_Places,GLBMTAB.13_places_sample_locations,coordinate,coord_certainty,uncertain,,"GLBF.5_place_coordinate_data_assignment,LAF.430_data_assignment_type,SRDF.509_data_assignment_type_metatype",4,Yes,GLBM.2_Place,E53 Place,GLBF.5_place_coordinate_data_assignment,->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P141i_was_assigned_by->crm:E13_Attribute_Assignment[G5_1],Collection,SRDC.4_data_assignment,,,pass through,SRDF.509_data_assignment_type_metatype,->crm:P141i_was_assigned_by->crm:E13_Attribute_Assignment[429_1]->crm:P2_has_type->crm:E55_Type[430_1]->crm:P2_has_type->crm:E55_Type[SRDF.509_1],Concept,,,certainty,additional/pass,LAF.430_data_assignment_type,->crm:P141i_was_assigned_by->crm:E13_Attribute_Assignment[429_1]->crm:P2_has_type->crm:E55_Type[430_1],Concept,,,content,,,,,,,
GLBMAP.153_coord_remark,3_Places,GLBMTAB.13_places_sample_locations,coordinate,coord_remark,Coordinates derived from GM 7:183 footnote (before WGS 84),,"GLBF.4_place_coordinate_statement,LAF.14_statement_type,LAF.15_statement_content",5,Yes,GLBM.2_Place,E53 Place,GLBF.4_place_coordinate_statement,->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[G4_1],Collection,SRDC.2_statement,,,pass through,LAF.14_statement_type,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P2_has_type->crm:E55_Type[14_1],Concept,,,https://vocab.getty.edu/aat/300435415,additional/pass,LAF.15_statement_content,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,content,,,,,,,
GLBMAP.154_coord_remark_source,3_Places,GLBMTAB.13_places_sample_locations,coordinate,coord_remark_source,https://www.zotero.org/groups/4678659/items/S37QQBGX,,"GLBF.4_place_coordinate_statement,SRDF.804_statement_specific_citation,SRDF.368_specific_citation_part_of_bibliographic_item",6,Yes,GLBM.2_Place,E53 Place,GLBF.4_place_coordinate_statement,->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[G4_1],Collection,SRDC.2_statement,,,pass through,SRDF.804_statement_specific_citation,"->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P67i_is_referred_to_by->
crm:E33_Linguistic_Object[SRDF.804_1]",Collection,SRDC.10_specific_citation,,,pass through,SRDF.368_specific_citation_part_of_bibliographic_item,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P106i_forms_part_of->crm:E33_Linguistic_Object[SRDF.368_1],Reference Model,,,content,,,,,,,
GLBMAP.155_coord_remark_source_page_number,3_Places,GLBMTAB.13_places_sample_locations,coordinate,coord_remark_source_page_number,183,,"GLBF.4_place_coordinate_statement,SRDF.804_statement_specific_citation,SRDF.367_specific_citation_identifier,LAF.10_identifier_content",7,Yes,GLBM.2_Place,E53 Place,GLBF.4_place_coordinate_statement,->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[G4_1],Collection,SRDC.2_statement,,,pass through,SRDF.804_statement_specific_citation,"->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P67i_is_referred_to_by->
crm:E33_Linguistic_Object[SRDF.804_1]",Collection,SRDC.10_specific_citation,,,pass through,SRDF.367_specific_citation_identifier,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P1_is_identified_by->crm:E42_Identifier[SRDF.367_1],Collection,SRDC.14_identifier,,pass through,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,,,String,,content
GLBMAP.156_coord_source,3_Places,GLBMTAB.13_places_sample_locations,coordinate,coord_source,GM,,"GLBF.5_place_coordinate_data_assignment,LAF.429_data_assignment_actor",8,Yes,GLBM.2_Place,E53 Place,GLBF.5_place_coordinate_data_assignment,->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P141i_was_assigned_by->crm:E13_Attribute_Assignment[G5_1],Collection,SRDC.4_data_assignment,,,pass through,LAF.429_data_assignment_actor,->crm:P141i_was_assigned_by->crm:E13_Attribute_Assignment[429_1]->crm:P14_carried_out_by->crm:E39_Actor[429_2],Reference Model,,"LAM.9_Person, LAM.4_Group",,content,,,,,,,,,,,,,
GLBMAP.157_country,3_Places,GLBMTAB.13_places_sample_locations,country,country,India/Sri Lanka,,"SRDF.758_topographical_status_ascribed_place,SRDF.756_topographical_status_type",9,Yes,GLBM.2_Place,E53 Place,SRDF.758_topographical_status_ascribed_place,->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->aaao:ZP77_ascribes_place->crm:E53_Place[SRDF.758_1],Reference Model,,SRDM.5_Place,,content pass through,SRDF.756_topographical_status_type,->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->crm:P2_has_type->crm:E55_Type[SRDF.756_1],Concept,,,country,additional,,,,,,,,,,,,,
GLBMAP.158_country_source,3_Places,GLBMTAB.13_places_sample_locations,country,country_source,https://www.zotero.org/groups/4678659/items/S37QQBGX; https://www.atlasofmutualheritage.nl/nl/page/5456/alandale,,"SRDF.816_topographical_status_specific_citation,SRDF.368_specific_citation_part_of_bibliographic_item",10,Yes,GLBM.2_Place,E53 Place,SRDF.816_topographical_status_specific_citation,->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.816_1],Collection,SRDC.10_specific_citation,,,pass through,SRDF.368_specific_citation_part_of_bibliographic_item,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P106i_forms_part_of->crm:E33_Linguistic_Object[SRDF.368_1],Reference Model,,SRDM.8_Bibliographic_Item,,content,,,,,,,,,,,,,
GLBMAP.159_country_source_page,3_Places,GLBMTAB.13_places_sample_locations,country,country_source_page,183,,"SRDF.816_topographical_status_specific_citation,SRDF.367_specific_citation_identifier,LAF.10_identifier_content,LAF.9_identifier_type",11,Yes,GLBM.2_Place,E53 Place,SRDF.816_topographical_status_specific_citation,->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.816_1],Collection,SRDC.10_specific_citation,,,pass through,SRDF.367_specific_citation_identifier,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P1_is_identified_by->crm:E42_Identifier[SRDF.367_1],Collection,SRDC.14_identifier,,,pass through,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,content,LAF.9_identifier_type,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1],,,Concept,http://vocab.getty.edu/aat/300445022,additional
GLBMAP.160_esta_id,3_Places,GLBMTAB.13_places_sample_locations,,esta_id,Bla,,"LAF.10_identifier_content,LAF.9_identifier_type",12,Yes,GLBM.2_Place,E53 Place,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content pass through,LAF.9_identifier_type,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1],Concept,,,esta_id,additional,,,,,,,,,,,,,
GLBMAP.161_geonames_id,3_Places,GLBMTAB.13_places_sample_locations,,geonames_id,8043258,,"LAF.10_identifier_content,LAF.9_identifier_type",13,Yes,GLBM.2_Place,E53 Place,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content pass through,LAF.9_identifier_type,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1],Concept,,,https://www.wikidata.org/wiki/Property:P1566,additional,,,,,,,,,,,,,
GLBMAP.162_glob_id,3_Places,GLBMTAB.13_places_sample_locations,,glob_id,GLOB_894,,"LAF.10_identifier_content,LAF.9_identifier_type",14,Yes,GLBM.2_Place,E53 Place,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content pass through,LAF.9_identifier_type,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1],Concept,,,glob_id,additional,,,,,,,,,,,,,
GLBMAP.163_latitude,3_Places,GLBMTAB.13_places_sample_locations,coordinate,latitude,8.5,,"GLBF.1_place_coordinate,GLBF.3_place_coordinate_type",15,Yes,GLBM.2_Place,E53 Place,GLBF.1_place_coordinate,->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content pass through,GLBF.3_place_coordinate_type,"->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]
->crm:P2_has_type->crm:E55_Type[G3_1]",Concept,,,https://vocab.getty.edu/aat/300387565,additional,,,,,,,,,,,,,
GLBMAP.164_longitude,3_Places,GLBMTAB.13_places_sample_locations,coordinate,longitude,78.16666667,,"GLBF.1_place_coordinate,GLBF.3_place_coordinate_type",16,Yes,GLBM.2_Place,E53 Place,GLBF.1_place_coordinate,->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content pass through,GLBF.3_place_coordinate_type,"->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]
->crm:P2_has_type->crm:E55_Type[G3_1]",Concept,,,https://vocab.getty.edu/aat/300387567,additional,,,,,,,,,,,,,
